file_tag,date,sample
sample1,20181217,sample01
sample1,20181218,sample34
sample10,20181217,sample19
sample10,20181218,sample55
sample11,20181217,sample20
sample11,20181218,sample56
sample12,20181217,sample21
sample12,20181218,sample57
sample13,20181217,sample22
sample13,20181218,sample58
sample14,20181217,sample23
sample14,20181218,sample62
sample15,20181217,sample24
sample15,20181218,sample63
sample16,20181217,sample25
sample16,20181218,sample64
sample17,20181217,sample26
sample17,20181218,sample65
sample18,20181217,sample27
sample18,20181218,sample66
sample19,20181217,sample28
sample19,20181218,sample67
sample2,20181217,sample02
sample2,20181218,sample35
sample20,20181217,sample29
sample20,20181218,sample68
sample21,20181217,sample30
sample21,20181218,sample69
sample22,20181217,sample31
sample22,20181218,sample59
sample23,20181217,sample32
sample23,20181218,sample60
sample24,20181217,sample33
sample24,20181218,sample61
sample3,20181217,sample03
sample3,20181218,sample36
sample4,20181217,sample10
sample4,20181218,sample46
sample5,20181217,sample11
sample5,20181218,sample44
sample6,20181217,sample12
sample6,20181218,sample45
sample7,20181217,sample16
sample7,20181218,sample52
sample8,20181217,sample17
sample8,20181218,sample53
sample9,20181217,sample18
sample9,20181218,sample54
sample23repeat,20181218,sample_x
