nuc_nb,nuc_id,nuc,nuc_group
1,nuc01,dCMP,ng_01
2,nuc02,dUMP,ng_02
3,nuc03,dTMP,ng_03
4,nuc04,CMP,ng_01
5,nuc05,UMP,ng_02
6,nuc06,cAMP,ng_06
7,nuc07,dAMP,ng_04
8,nuc08,AMP,ng_04
9,nuc09,dGMP,ng_05
10,nuc10,IMP,ng_06
11,nuc11,GMP,ng_05
12,nuc12,dCDP,ng_01
13,nuc13,dUDP,ng_02
14,nuc14,dTDP,ng_03
15,nuc15,CDP,ng_01
16,nuc16,UDP,ng_02
17,nuc17,dADP,ng_04
18,nuc18,ADP,ng_04
19,nuc19,dGDP,ng_05
20,nuc20,GDP,ng_05
21,nuc21,dCTP,ng_01
22,nuc22,dTTP,ng_03
23,nuc23,CTP,ng_01
24,nuc24,UTP,ng_02
25,nuc25,dATP,ng_04
26,nuc26,ATP,ng_04
27,nuc27,dGTP,ng_05
28,nuc28,GTP,ng_05
29,nuc29,UDP-Glc,ng_06
30,nuc30,GDP-Man,ng_06
31,nuc31,UDP-GNAc,ng_06
32,nuc32,NAD+,ng_07
33,nuc33,NADH,ng_07
34,nuc34,NADP+,ng_07
35,nuc35,NADPH,ng_07
36,nuc36,AcCoA,ng_06
