"calcurve","nuc_nb","transition","mean","cv","nb_calcurve","date","level"
"A",1,1,4575,"8.2%",1,"20181217",10
"A",1,2,1336,"15.1%",1,"20181217",10
"A",1,12,5982,"7.4%",1,"20181217",10
"A",2,1,2467,"11%",1,"20181217",10
"A",2,2,5536,"8.1%",1,"20181217",10
"A",2,12,8016,"6.7%",1,"20181217",10
"A",3,1,127325,"4.3%",1,"20181217",10
"A",3,2,333818,"4.2%",1,"20181217",10
"A",3,12,460012,"4.1%",1,"20181217",10
"A",4,1,30249,"4.8%",1,"20181217",10
"A",4,2,6646,"6.6%",1,"20181217",10
"A",4,12,36874,"4.5%",1,"20181217",10
"A",5,1,12548,"7.2%",1,"20181217",10
"A",5,2,4641,"9%",1,"20181217",10
"A",5,12,17198,"6.2%",1,"20181217",10
"A",6,1,31578,"4.7%",1,"20181217",10
"A",6,2,335704,"3.6%",1,"20181217",10
"A",6,12,366749,"3.5%",1,"20181217",10
"A",7,1,42736,"4.2%",1,"20181217",10
"A",7,2,7607,"6.6%",1,"20181217",10
"A",7,12,50729,"4.1%",1,"20181217",10
"A",8,1,3154,"9.5%",1,"20181217",10
"A",8,2,15496,"7.1%",1,"20181217",10
"A",8,12,18565,"6.8%",1,"20181217",10
"A",9,1,75677,"5.8%",1,"20181217",10
"A",9,2,10623,"7.4%",1,"20181217",10
"A",9,12,86034,"5.7%",1,"20181217",10
"A",10,1,2859,"9.9%",1,"20181217",10
"A",10,2,1753,"13.2%",1,"20181217",10
"A",10,12,4596,"9.1%",1,"20181217",10
"A",11,1,3397,"9.7%",1,"20181217",10
"A",11,2,2985,"10.9%",1,"20181217",10
"A",11,12,6430,"8%",1,"20181217",10
"A",12,1,71590,"5.7%",1,"20181217",10
"A",12,2,11742,"8%",1,"20181217",10
"A",12,12,83401,"5.7%",1,"20181217",10
"A",13,1,44015,"4.8%",1,"20181217",10
"A",13,2,12196,"6%",1,"20181217",10
"A",13,12,56340,"4.4%",1,"20181217",10
"A",14,1,1272790,"3.2%",1,"20181217",10
"A",14,2,572169,"3.3%",1,"20181217",10
"A",14,12,1846364,"3.1%",1,"20181217",10
"A",15,1,204436,"4.8%",1,"20181217",10
"A",15,2,12915,"7.6%",1,"20181217",10
"A",15,12,217689,"4.8%",1,"20181217",10
"A",16,1,143399,"5.4%",1,"20181217",10
"A",16,2,53371,"5.8%",1,"20181217",10
"A",16,12,196611,"5.2%",1,"20181217",10
"A",17,1,142216,"6.6%",1,"20181217",10
"A",17,2,36902,"6.6%",1,"20181217",10
"A",17,12,179406,"6.4%",1,"20181217",10
"A",18,1,324019,"4.9%",1,"20181217",10
"A",18,2,474864,"5%",1,"20181217",10
"A",18,12,801953,"4.8%",1,"20181217",10
"A",19,1,495693,"4.3%",1,"20181217",10
"A",19,2,32837,"4.5%",1,"20181217",10
"A",19,12,528394,"4.2%",1,"20181217",10
"A",20,1,168208,"4.6%",1,"20181217",10
"A",20,2,263394,"4.5%",1,"20181217",10
"A",20,12,431804,"4.4%",1,"20181217",10
"A",21,1,243296,"3.1%",1,"20181217",10
"A",21,2,44794,"3%",1,"20181217",10
"A",21,12,288472,"2.9%",1,"20181217",10
"A",22,1,1051640,"2.5%",1,"20181217",10
"A",22,2,69282,"3.3%",1,"20181217",10
"A",22,12,1120107,"2.4%",1,"20181217",10
"A",23,1,299604,"2.9%",1,"20181217",10
"A",23,2,238424,"3.5%",1,"20181217",10
"A",23,12,536409,"2.9%",1,"20181217",10
"A",24,1,323793,"2.8%",1,"20181217",10
"A",24,2,77288,"3.1%",1,"20181217",10
"A",24,12,401108,"2.7%",1,"20181217",10
"A",25,1,624282,"2.8%",1,"20181217",10
"A",25,2,88877,"3.3%",1,"20181217",10
"A",25,12,713510,"2.7%",1,"20181217",10
"A",26,1,964687,"2.8%",1,"20181217",10
"A",26,2,877585,"3%",1,"20181217",10
