"nuc_id","nuc","nuc_group","transition_id","calcurve","level","repl_calcurve","date","median_intensity","cv"
"nuc01","dCMP","ng_01","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc01","dCMP","ng_01","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc01","dCMP","ng_01","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc02","dUMP","ng_02","t1","TrueBlank",NA,1,"20181217",666,"18.6%"
"nuc02","dUMP","ng_02","t2","TrueBlank",NA,1,"20181217",0,"7821151.7%"
"nuc02","dUMP","ng_02","t12","TrueBlank",NA,1,"20181217",680,"18.3%"
"nuc03","dTMP","ng_03","t1","TrueBlank",NA,1,"20181217",2,"748.1%"
"nuc03","dTMP","ng_03","t2","TrueBlank",NA,1,"20181217",1,"2443.8%"
"nuc03","dTMP","ng_03","t12","TrueBlank",NA,1,"20181217",16,"232%"
"nuc04","CMP","ng_01","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc04","CMP","ng_01","t2","TrueBlank",NA,1,"20181217",52,"69.3%"
"nuc04","CMP","ng_01","t12","TrueBlank",NA,1,"20181217",54,"71.6%"
"nuc05","UMP","ng_02","t1","TrueBlank",NA,1,"20181217",43,"78.1%"
"nuc05","UMP","ng_02","t2","TrueBlank",NA,1,"20181217",189,"41.9%"
"nuc05","UMP","ng_02","t12","TrueBlank",NA,1,"20181217",235,"38.2%"
"nuc06","cAMP","ng_06","t1","TrueBlank",NA,1,"20181217",0,"NaN%"
"nuc06","cAMP","ng_06","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc06","cAMP","ng_06","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc07","dAMP","ng_04","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc07","dAMP","ng_04","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc07","dAMP","ng_04","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc08","AMP","ng_04","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc08","AMP","ng_04","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc08","AMP","ng_04","t12","TrueBlank",NA,1,"20181217",0,"49456751.1%"
"nuc09","dGMP","ng_05","t1","TrueBlank",NA,1,"20181217",89,"50.2%"
"nuc09","dGMP","ng_05","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc09","dGMP","ng_05","t12","TrueBlank",NA,1,"20181217",89,"50.1%"
"nuc10","IMP","ng_06","t1","TrueBlank",NA,1,"20181217",11,"267.6%"
"nuc10","IMP","ng_06","t2","TrueBlank",NA,1,"20181217",8,"265.8%"
"nuc10","IMP","ng_06","t12","TrueBlank",NA,1,"20181217",32,"110%"
"nuc11","GMP","ng_05","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc11","GMP","ng_05","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc11","GMP","ng_05","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc12","dCDP","ng_01","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc12","dCDP","ng_01","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc12","dCDP","ng_01","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc13","dUDP","ng_02","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc13","dUDP","ng_02","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc13","dUDP","ng_02","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc14","dTDP","ng_03","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc14","dTDP","ng_03","t2","TrueBlank",NA,1,"20181217",0,"2420214.4%"
"nuc14","dTDP","ng_03","t12","TrueBlank",NA,1,"20181217",0,"2486533.1%"
"nuc15","CDP","ng_01","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc15","CDP","ng_01","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc15","CDP","ng_01","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc16","UDP","ng_02","t1","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc16","UDP","ng_02","t2","TrueBlank",NA,1,"20181217",0,"Inf%"
"nuc16","UDP","ng_02","t12","TrueBlank",NA,1,"20181217",0,"Inf%"
