"date","file_tag","sample","nuc_id","nuc","transition_id","median_intensity","cv"
"20181217","sample1","sample01","nuc01","dCMP","t1",136,"47.3%"
"20181217","sample1","sample01","nuc01","dCMP","t2",10,"282.4%"
"20181217","sample1","sample01","nuc01","dCMP","t12",163,"43.7%"
"20181217","sample1","sample01","nuc02","dUMP","t1",192,"39.7%"
"20181217","sample1","sample01","nuc02","dUMP","t2",58,"91.6%"
"20181217","sample1","sample01","nuc02","dUMP","t12",267,"34%"
"20181217","sample1","sample01","nuc03","dTMP","t1",76,"59.7%"
"20181217","sample1","sample01","nuc03","dTMP","t2",884,"18.5%"
"20181217","sample1","sample01","nuc03","dTMP","t12",971,"16.3%"
"20181217","sample1","sample01","nuc04","CMP","t1",471,"23.5%"
"20181217","sample1","sample01","nuc04","CMP","t2",298,"31.4%"
"20181217","sample1","sample01","nuc04","CMP","t12",771,"17.5%"
"20181217","sample1","sample01","nuc05","UMP","t1",1048,"14.6%"
"20181217","sample1","sample01","nuc05","UMP","t2",1189,"17%"
"20181217","sample1","sample01","nuc05","UMP","t12",2253,"11.7%"
"20181217","sample1","sample01","nuc06","cAMP","t1",60,"78.6%"
"20181217","sample1","sample01","nuc06","cAMP","t2",623,"22.2%"
"20181217","sample1","sample01","nuc06","cAMP","t12",670,"22.3%"
"20181217","sample1","sample01","nuc07","dAMP","t1",214,"39.9%"
"20181217","sample1","sample01","nuc07","dAMP","t2",0,"1952536.7%"
"20181217","sample1","sample01","nuc07","dAMP","t12",234,"36.9%"
"20181217","sample1","sample01","nuc08","AMP","t1",392,"29%"
"20181217","sample1","sample01","nuc08","AMP","t2",1473,"16.9%"
"20181217","sample1","sample01","nuc08","AMP","t12",1926,"15.1%"
"20181217","sample1","sample01","nuc09","dGMP","t1",3465,"9%"
"20181217","sample1","sample01","nuc09","dGMP","t2",94,"60.8%"
"20181217","sample1","sample01","nuc09","dGMP","t12",3570,"9.2%"
"20181217","sample1","sample01","nuc10","IMP","t1",433,"26.2%"
"20181217","sample1","sample01","nuc10","IMP","t2",178,"38%"
"20181217","sample1","sample01","nuc10","IMP","t12",622,"22.3%"
"20181217","sample1","sample01","nuc11","GMP","t1",134,"51.9%"
"20181217","sample1","sample01","nuc11","GMP","t2",154,"54%"
"20181217","sample1","sample01","nuc11","GMP","t12",282,"37%"
"20181217","sample1","sample01","nuc12","dCDP","t1",116,"45.9%"
"20181217","sample1","sample01","nuc12","dCDP","t2",46,"88.9%"
"20181217","sample1","sample01","nuc12","dCDP","t12",164,"39.6%"
"20181217","sample1","sample01","nuc13","dUDP","t1",101,"52%"
"20181217","sample1","sample01","nuc13","dUDP","t2",124,"55.4%"
"20181217","sample1","sample01","nuc13","dUDP","t12",230,"33.3%"
"20181217","sample1","sample01","nuc14","dTDP","t1",711,"24.6%"
"20181217","sample1","sample01","nuc14","dTDP","t2",253,"26.3%"
"20181217","sample1","sample01","nuc14","dTDP","t12",975,"18.4%"
"20181217","sample1","sample01","nuc15","CDP","t1",1738,"12.2%"
"20181217","sample1","sample01","nuc15","CDP","t2",461,"25.4%"
"20181217","sample1","sample01","nuc15","CDP","t12",2163,"12.5%"
"20181217","sample1","sample01","nuc16","UDP","t1",5721,"6.8%"
"20181217","sample1","sample01","nuc16","UDP","t2",2091,"13.9%"
"20181217","sample1","sample01","nuc16","UDP","t12",7916,"6.2%"
"20181217","sample1","sample01","nuc17","dADP","t1",176,"43.7%"
"20181217","sample1","sample01","nuc17","dADP","t2",59,"79.8%"
"20181217","sample1","sample01","nuc17","dADP","t12",238,"36.6%"
"20181217","sample1","sample01","nuc18","ADP","t1",37764,"4.8%"
"20181217","sample1","sample01","nuc18","ADP","t2",29319,"5.5%"
"20181217","sample1","sample01","nuc18","ADP","t12",67777,"4.3%"
"20181217","sample1","sample01","nuc19","dGDP","t1",29584,"5.4%"
"20181217","sample1","sample01","nuc19","dGDP","t2",549,"24.8%"
"20181217","sample1","sample01","nuc19","dGDP","t12",30053,"5.4%"
"20181217","sample1","sample01","nuc20","GDP","t1",6115,"8.9%"
"20181217","sample1","sample01","nuc20","GDP","t2",8253,"7.7%"
"20181217","sample1","sample01","nuc20","GDP","t12",14223,"6.6%"
"20181217","sample1","sample01","nuc21","dCTP","t1",61,"68.7%"
"20181217","sample1","sample01","nuc21","dCTP","t2",66,"71.2%"
"20181217","sample1","sample01","nuc21","dCTP","t12",123,"53.3%"
"20181217","sample1","sample01","nuc22","dTTP","t1",275,"37.7%"
"20181217","sample1","sample01","nuc22","dTTP","t2",92,"71.8%"
"20181217","sample1","sample01","nuc22","dTTP","t12",398,"28.7%"
"20181217","sample1","sample01","nuc23","CTP","t1",3051,"12.8%"
"20181217","sample1","sample01","nuc23","CTP","t2",2716,"11.2%"
"20181217","sample1","sample01","nuc23","CTP","t12",5810,"9%"
"20181217","sample1","sample01","nuc24","UTP","t1",8865,"6.7%"
"20181217","sample1","sample01","nuc24","UTP","t2",2633,"13.4%"
"20181217","sample1","sample01","nuc24","UTP","t12",11512,"6.9%"
"20181217","sample1","sample01","nuc25","dATP","t1",202,"28.6%"
"20181217","sample1","sample01","nuc25","dATP","t2",81,"60%"
"20181217","sample1","sample01","nuc25","dATP","t12",289,"26.1%"
"20181217","sample1","sample01","nuc26","ATP","t1",61357,"4.2%"
"20181217","sample1","sample01","nuc26","ATP","t2",60612,"4.7%"
"20181217","sample1","sample01","nuc26","ATP","t12",121937,"4.1%"
"20181217","sample1","sample01","nuc27","dGTP","t1",52776,"4.3%"
"20181217","sample1","sample01","nuc27","dGTP","t2",3724,"10.6%"
"20181217","sample1","sample01","nuc27","dGTP","t12",56429,"4.3%"
"20181217","sample1","sample01","nuc28","GTP","t1",433,"30.8%"
"20181217","sample1","sample01","nuc28","GTP","t2",160,"44.4%"
"20181217","sample1","sample01","nuc28","GTP","t12",587,"26.6%"
"20181217","sample1","sample01","nuc29","UDP-Glc","t1",346,"27.2%"
"20181217","sample1","sample01","nuc29","UDP-Glc","t2",4605,"7.1%"
"20181217","sample1","sample01","nuc29","UDP-Glc","t12",4930,"7.3%"
"20181217","sample1","sample01","nuc30","GDP-Man","t1",294,"33.6%"
"20181217","sample1","sample01","nuc30","GDP-Man","t2",146,"47.1%"
"20181217","sample1","sample01","nuc30","GDP-Man","t12",444,"26.4%"
"20181217","sample1","sample01","nuc31","UDP-GNAc","t1",1317,"17.1%"
"20181217","sample1","sample01","nuc31","UDP-GNAc","t2",2285,"14%"
"20181217","sample1","sample01","nuc31","UDP-GNAc","t12",3639,"10.1%"
"20181217","sample1","sample01","nuc32","NAD+","t1",483,"24.5%"
"20181217","sample1","sample01","nuc32","NAD+","t2",4077,"11.1%"
"20181217","sample1","sample01","nuc32","NAD+","t12",4610,"10.8%"
"20181217","sample1","sample01","nuc33","NADH","t1",411,"27.8%"
"20181217","sample1","sample01","nuc33","NADH","t2",424,"32.7%"
"20181217","sample1","sample01","nuc33","NADH","t12",840,"23.1%"
"20181217","sample1","sample01","nuc34","NADP+","t1",606,"29.1%"
"20181217","sample1","sample01","nuc34","NADP+","t2",3077,"11.3%"
"20181217","sample1","sample01","nuc34","NADP+","t12",3672,"11.1%"
"20181217","sample1","sample01","nuc35","NADPH","t1",178,"40.8%"
"20181217","sample1","sample01","nuc35","NADPH","t2",167,"46.8%"
"20181217","sample1","sample01","nuc35","NADPH","t12",347,"35%"
"20181217","sample1","sample01","nuc36","AcCoA","t1",803,"24.3%"
"20181217","sample1","sample01","nuc36","AcCoA","t2",552,"29.4%"
"20181217","sample1","sample01","nuc36","AcCoA","t12",1301,"20.7%"
"20181217","sample1","sample01","nuc01","dCMP","t1",133,"49.9%"
"20181217","sample1","sample01","nuc01","dCMP","t2",10,"319.6%"
"20181217","sample1","sample01","nuc01","dCMP","t12",149,"50.3%"
"20181217","sample1","sample01","nuc02","dUMP","t1",196,"29.1%"
"20181217","sample1","sample01","nuc02","dUMP","t2",68,"61.1%"
"20181217","sample1","sample01","nuc02","dUMP","t12",267,"28.2%"
"20181217","sample1","sample01","nuc03","dTMP","t1",68,"58.7%"
"20181217","sample1","sample01","nuc03","dTMP","t2",870,"21.4%"
"20181217","sample1","sample01","nuc03","dTMP","t12",958,"18.4%"
"20181217","sample1","sample01","nuc04","CMP","t1",471,"25.5%"
"20181217","sample1","sample01","nuc04","CMP","t2",319,"34.4%"
"20181217","sample1","sample01","nuc04","CMP","t12",807,"22.8%"
"20181217","sample1","sample01","nuc05","UMP","t1",998,"22.9%"
"20181217","sample1","sample01","nuc05","UMP","t2",1134,"13.7%"
"20181217","sample1","sample01","nuc05","UMP","t12",2213,"13%"
"20181217","sample1","sample01","nuc06","cAMP","t1",74,"56.2%"
"20181217","sample1","sample01","nuc06","cAMP","t2",592,"24.2%"
"20181217","sample1","sample01","nuc06","cAMP","t12",662,"21.1%"
"20181217","sample1","sample01","nuc07","dAMP","t1",185,"43%"
"20181217","sample1","sample01","nuc07","dAMP","t2",0,"1433726.4%"
"20181217","sample1","sample01","nuc07","dAMP","t12",207,"40.6%"
"20181217","sample1","sample01","nuc08","AMP","t1",386,"26.5%"
"20181217","sample1","sample01","nuc08","AMP","t2",1506,"16.3%"
"20181217","sample1","sample01","nuc08","AMP","t12",1889,"14.5%"
"20181217","sample1","sample01","nuc09","dGMP","t1",3428,"14.2%"
"20181217","sample1","sample01","nuc09","dGMP","t2",82,"71.7%"
"20181217","sample1","sample01","nuc09","dGMP","t12",3514,"14.3%"
"20181217","sample1","sample01","nuc10","IMP","t1",451,"26.4%"
"20181217","sample1","sample01","nuc10","IMP","t2",175,"44.7%"
"20181217","sample1","sample01","nuc10","IMP","t12",649,"21.8%"
"20181217","sample1","sample01","nuc11","GMP","t1",117,"40.9%"
"20181217","sample1","sample01","nuc11","GMP","t2",153,"52.3%"
"20181217","sample1","sample01","nuc11","GMP","t12",262,"34.6%"
"20181217","sample1","sample01","nuc12","dCDP","t1",113,"61.2%"
"20181217","sample1","sample01","nuc12","dCDP","t2",43,"81.3%"
"20181217","sample1","sample01","nuc12","dCDP","t12",168,"48%"
"20181217","sample1","sample01","nuc13","dUDP","t1",90,"62.5%"
"20181217","sample1","sample01","nuc13","dUDP","t2",106,"68.9%"
"20181217","sample1","sample01","nuc13","dUDP","t12",215,"40.9%"
"20181217","sample1","sample01","nuc14","dTDP","t1",674,"18.9%"
"20181217","sample1","sample01","nuc14","dTDP","t2",260,"37.6%"
"20181217","sample1","sample01","nuc14","dTDP","t12",968,"15.7%"
"20181217","sample1","sample01","nuc15","CDP","t1",1645,"15.1%"
"20181217","sample1","sample01","nuc15","CDP","t2",348,"41.6%"
"20181217","sample1","sample01","nuc15","CDP","t12",2085,"13.7%"
"20181217","sample1","sample01","nuc16","UDP","t1",5600,"23.2%"
"20181217","sample1","sample01","nuc16","UDP","t2",2024,"12.5%"
"20181217","sample1","sample01","nuc16","UDP","t12",7681,"17.6%"
"20181217","sample1","sample01","nuc17","dADP","t1",159,"94.5%"
"20181217","sample1","sample01","nuc17","dADP","t2",57,"67%"
"20181217","sample1","sample01","nuc17","dADP","t12",223,"69.1%"
"20181217","sample1","sample01","nuc18","ADP","t1",36752,"6.9%"
"20181217","sample1","sample01","nuc18","ADP","t2",28971,"6.9%"
"20181217","sample1","sample01","nuc18","ADP","t12",65554,"6.5%"
"20181217","sample1","sample01","nuc19","dGDP","t1",28894,"7%"
"20181217","sample1","sample01","nuc19","dGDP","t2",547,"21.7%"
"20181217","sample1","sample01","nuc19","dGDP","t12",29429,"6.9%"
"20181217","sample1","sample01","nuc20","GDP","t1",5984,"8.4%"
"20181217","sample1","sample01","nuc20","GDP","t2",7768,"10.3%"
"20181217","sample1","sample01","nuc20","GDP","t12",13820,"8%"
"20181217","sample1","sample01","nuc21","dCTP","t1",63,"78.1%"
"20181217","sample1","sample01","nuc21","dCTP","t2",66,"71.9%"
"20181217","sample1","sample01","nuc21","dCTP","t12",133,"56.4%"
"20181217","sample1","sample01","nuc22","dTTP","t1",271,"31.7%"
"20181217","sample1","sample01","nuc22","dTTP","t2",120,"55.3%"
"20181217","sample1","sample01","nuc22","dTTP","t12",398,"24.5%"
"20181217","sample1","sample01","nuc23","CTP","t1",2961,"12.1%"
"20181217","sample1","sample01","nuc23","CTP","t2",2670,"14.8%"
"20181217","sample1","sample01","nuc23","CTP","t12",5669,"10.9%"
"20181217","sample1","sample01","nuc24","UTP","t1",9014,"6.7%"
"20181217","sample1","sample01","nuc24","UTP","t2",2729,"11.1%"
"20181217","sample1","sample01","nuc24","UTP","t12",11630,"5.7%"
"20181217","sample1","sample01","nuc25","dATP","t1",222,"31.5%"
"20181217","sample1","sample01","nuc25","dATP","t2",78,"81.7%"
"20181217","sample1","sample01","nuc25","dATP","t12",312,"31.5%"
"20181217","sample1","sample01","nuc26","ATP","t1",61327,"5.3%"
"20181217","sample1","sample01","nuc26","ATP","t2",60635,"5%"
"20181217","sample1","sample01","nuc26","ATP","t12",122318,"4.8%"
"20181217","sample1","sample01","nuc27","dGTP","t1",53164,"20%"
"20181217","sample1","sample01","nuc27","dGTP","t2",3783,"25.5%"
