"","nuc_id","nuc","nuc_group","transition_id","calcurve","level","repl_calcurve","date","median_intensity","cv","n_tb_val","mean_tb_val","sd_tb_val"
"1","nuc01","dCMP","ng_01","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,22.6,48.875351661139
"2","nuc01","dCMP","ng_01","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,22.6,48.875351661139
"3","nuc01","dCMP","ng_01","t1","TrueBlank",NA,1,20181218,110,"72.5%",5,22.6,48.875351661139
"4","nuc01","dCMP","ng_01","t1","TrueBlank",NA,2,20181218,3,"689%",5,22.6,48.875351661139
"5","nuc01","dCMP","ng_01","t1","TrueBlank",NA,3,20181218,0,"61916379.9%",5,22.6,48.875351661139
"6","nuc01","dCMP","ng_01","t12","TrueBlank",NA,1,20181217,0,"Inf%",5,29.4,62.9587166324092
"7","nuc01","dCMP","ng_01","t12","TrueBlank",NA,3,20181217,0,"Inf%",5,29.4,62.9587166324092
"8","nuc01","dCMP","ng_01","t12","TrueBlank",NA,1,20181218,142,"67.3%",5,29.4,62.9587166324092
"9","nuc01","dCMP","ng_01","t12","TrueBlank",NA,2,20181218,3,"648%",5,29.4,62.9587166324092
"10","nuc01","dCMP","ng_01","t12","TrueBlank",NA,3,20181218,2,"1357.8%",5,29.4,62.9587166324092
"11","nuc01","dCMP","ng_01","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,5.2,11.6275534829989
"12","nuc01","dCMP","ng_01","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,5.2,11.6275534829989
"13","nuc01","dCMP","ng_01","t2","TrueBlank",NA,1,20181218,26,"152.8%",5,5.2,11.6275534829989
"14","nuc01","dCMP","ng_01","t2","TrueBlank",NA,2,20181218,0,"Inf%",5,5.2,11.6275534829989
"15","nuc01","dCMP","ng_01","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,5.2,11.6275534829989
"16","nuc02","dUMP","ng_02","t1","TrueBlank",NA,1,20181217,666,"18.6%",5,651,154.280588539194
"17","nuc02","dUMP","ng_02","t1","TrueBlank",NA,3,20181217,747,"18%",5,651,154.280588539194
"18","nuc02","dUMP","ng_02","t1","TrueBlank",NA,1,20181218,389,"31.3%",5,651,154.280588539194
"19","nuc02","dUMP","ng_02","t1","TrueBlank",NA,2,20181218,673,"26.3%",5,651,154.280588539194
"20","nuc02","dUMP","ng_02","t1","TrueBlank",NA,3,20181218,780,"28.4%",5,651,154.280588539194
"21","nuc02","dUMP","ng_02","t12","TrueBlank",NA,1,20181217,680,"18.3%",5,674.6,128.989534459196
"22","nuc02","dUMP","ng_02","t12","TrueBlank",NA,3,20181217,747,"18.1%",5,674.6,128.989534459196
"23","nuc02","dUMP","ng_02","t12","TrueBlank",NA,1,20181218,459,"29.2%",5,674.6,128.989534459196
"24","nuc02","dUMP","ng_02","t12","TrueBlank",NA,2,20181218,692,"25.1%",5,674.6,128.989534459196
"25","nuc02","dUMP","ng_02","t12","TrueBlank",NA,3,20181218,795,"28%",5,674.6,128.989534459196
"26","nuc02","dUMP","ng_02","t2","TrueBlank",NA,1,20181217,0,"7821151.7%",5,20.2,31.7048892128643
"27","nuc02","dUMP","ng_02","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,20.2,31.7048892128643
"28","nuc02","dUMP","ng_02","t2","TrueBlank",NA,1,20181218,75,"67.6%",5,20.2,31.7048892128643
"29","nuc02","dUMP","ng_02","t2","TrueBlank",NA,2,20181218,20,"155.9%",5,20.2,31.7048892128643
"30","nuc02","dUMP","ng_02","t2","TrueBlank",NA,3,20181218,6,"458.3%",5,20.2,31.7048892128643
"31","nuc03","dTMP","ng_03","t1","TrueBlank",NA,1,20181217,2,"748.1%",5,14.8,17.1959297509614
"32","nuc03","dTMP","ng_03","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,14.8,17.1959297509614
"33","nuc03","dTMP","ng_03","t1","TrueBlank",NA,1,20181218,43,"106.8%",5,14.8,17.1959297509614
"34","nuc03","dTMP","ng_03","t1","TrueBlank",NA,2,20181218,13,"133.5%",5,14.8,17.1959297509614
"35","nuc03","dTMP","ng_03","t1","TrueBlank",NA,3,20181218,16,"237.4%",5,14.8,17.1959297509614
"36","nuc03","dTMP","ng_03","t12","TrueBlank",NA,1,20181217,16,"232%",5,46.6,48.4695780877036
"37","nuc03","dTMP","ng_03","t12","TrueBlank",NA,3,20181217,3,"846%",5,46.6,48.4695780877036
"38","nuc03","dTMP","ng_03","t12","TrueBlank",NA,1,20181218,118,"58.2%",5,46.6,48.4695780877036
"39","nuc03","dTMP","ng_03","t12","TrueBlank",NA,2,20181218,21,"182.2%",5,46.6,48.4695780877036
"40","nuc03","dTMP","ng_03","t12","TrueBlank",NA,3,20181218,75,"65.4%",5,46.6,48.4695780877036
"41","nuc03","dTMP","ng_03","t2","TrueBlank",NA,1,20181217,1,"2443.8%",5,19.8,25.2922913157349
"42","nuc03","dTMP","ng_03","t2","TrueBlank",NA,3,20181217,0,"6409874.4%",5,19.8,25.2922913157349
"43","nuc03","dTMP","ng_03","t2","TrueBlank",NA,1,20181218,61,"71.5%",5,19.8,25.2922913157349
"44","nuc03","dTMP","ng_03","t2","TrueBlank",NA,2,20181218,11,"257.5%",5,19.8,25.2922913157349
"45","nuc03","dTMP","ng_03","t2","TrueBlank",NA,3,20181218,26,"146.2%",5,19.8,25.2922913157349
"46","nuc04","CMP","ng_01","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,41.4,82.1815064354505
"47","nuc04","CMP","ng_01","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,41.4,82.1815064354505
"48","nuc04","CMP","ng_01","t1","TrueBlank",NA,1,20181218,188,"37.8%",5,41.4,82.1815064354505
"49","nuc04","CMP","ng_01","t1","TrueBlank",NA,2,20181218,15,"157.8%",5,41.4,82.1815064354505
"50","nuc04","CMP","ng_01","t1","TrueBlank",NA,3,20181218,4,"493.1%",5,41.4,82.1815064354505
"51","nuc04","CMP","ng_01","t12","TrueBlank",NA,1,20181217,54,"71.6%",5,3050.4,6362.94262114629
"52","nuc04","CMP","ng_01","t12","TrueBlank",NA,3,20181217,34,"95.7%",5,3050.4,6362.94262114629
"53","nuc04","CMP","ng_01","t12","TrueBlank",NA,1,20181218,14428,"12.8%",5,3050.4,6362.94262114629
"54","nuc04","CMP","ng_01","t12","TrueBlank",NA,2,20181218,492,"38.7%",5,3050.4,6362.94262114629
"55","nuc04","CMP","ng_01","t12","TrueBlank",NA,3,20181218,244,"30%",5,3050.4,6362.94262114629
"56","nuc04","CMP","ng_01","t2","TrueBlank",NA,1,20181217,52,"69.3%",5,2989.2,6259.95872190864
"57","nuc04","CMP","ng_01","t2","TrueBlank",NA,3,20181217,25,"110.3%",5,2989.2,6259.95872190864
"58","nuc04","CMP","ng_01","t2","TrueBlank",NA,1,20181218,14183,"12.9%",5,2989.2,6259.95872190864
"59","nuc04","CMP","ng_01","t2","TrueBlank",NA,2,20181218,463,"41.3%",5,2989.2,6259.95872190864
"60","nuc04","CMP","ng_01","t2","TrueBlank",NA,3,20181218,223,"31.9%",5,2989.2,6259.95872190864
"61","nuc05","UMP","ng_02","t1","TrueBlank",NA,1,20181217,43,"78.1%",5,85,68.0477773332825
"62","nuc05","UMP","ng_02","t1","TrueBlank",NA,3,20181217,39,"64%",5,85,68.0477773332825
"63","nuc05","UMP","ng_02","t1","TrueBlank",NA,1,20181218,204,"36.8%",5,85,68.0477773332825
"64","nuc05","UMP","ng_02","t1","TrueBlank",NA,2,20181218,70,"74.2%",5,85,68.0477773332825
"65","nuc05","UMP","ng_02","t1","TrueBlank",NA,3,20181218,69,"57.7%",5,85,68.0477773332825
"66","nuc05","UMP","ng_02","t12","TrueBlank",NA,1,20181217,235,"38.2%",5,1732.6,3223.70862517071
"67","nuc05","UMP","ng_02","t12","TrueBlank",NA,3,20181217,178,"36.3%",5,1732.6,3223.70862517071
"68","nuc05","UMP","ng_02","t12","TrueBlank",NA,1,20181218,7497,"27.8%",5,1732.6,3223.70862517071
"69","nuc05","UMP","ng_02","t12","TrueBlank",NA,2,20181218,417,"43.1%",5,1732.6,3223.70862517071
"70","nuc05","UMP","ng_02","t12","TrueBlank",NA,3,20181218,336,"30.4%",5,1732.6,3223.70862517071
"71","nuc05","UMP","ng_02","t2","TrueBlank",NA,1,20181217,189,"41.9%",5,1635.6,3144.55001550301
"72","nuc05","UMP","ng_02","t2","TrueBlank",NA,3,20181217,136,"45.4%",5,1635.6,3144.55001550301
"73","nuc05","UMP","ng_02","t2","TrueBlank",NA,1,20181218,7259,"28.6%",5,1635.6,3144.55001550301
"74","nuc05","UMP","ng_02","t2","TrueBlank",NA,2,20181218,347,"41.3%",5,1635.6,3144.55001550301
"75","nuc05","UMP","ng_02","t2","TrueBlank",NA,3,20181218,247,"33.3%",5,1635.6,3144.55001550301
"76","nuc06","cAMP","ng_06","t1","TrueBlank",NA,1,20181217,0,"NaN%",5,4.2,9.39148550549912
"77","nuc06","cAMP","ng_06","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,4.2,9.39148550549912
"78","nuc06","cAMP","ng_06","t1","TrueBlank",NA,1,20181218,21,"162%",5,4.2,9.39148550549912
"79","nuc06","cAMP","ng_06","t1","TrueBlank",NA,2,20181218,0,"Inf%",5,4.2,9.39148550549912
"80","nuc06","cAMP","ng_06","t1","TrueBlank",NA,3,20181218,0,"Inf%",5,4.2,9.39148550549912
"81","nuc06","cAMP","ng_06","t12","TrueBlank",NA,1,20181217,0,"Inf%",5,29.8,64.9630664300878
"82","nuc06","cAMP","ng_06","t12","TrueBlank",NA,3,20181217,0,"Inf%",5,29.8,64.9630664300878
"83","nuc06","cAMP","ng_06","t12","TrueBlank",NA,1,20181218,146,"61%",5,29.8,64.9630664300878
"84","nuc06","cAMP","ng_06","t12","TrueBlank",NA,2,20181218,1,"5191.5%",5,29.8,64.9630664300878
"85","nuc06","cAMP","ng_06","t12","TrueBlank",NA,3,20181218,2,"1433.2%",5,29.8,64.9630664300878
"86","nuc06","cAMP","ng_06","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,24.6,53.8961965262856
"87","nuc06","cAMP","ng_06","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,24.6,53.8961965262856
"88","nuc06","cAMP","ng_06","t2","TrueBlank",NA,1,20181218,121,"60.8%",5,24.6,53.8961965262856
"89","nuc06","cAMP","ng_06","t2","TrueBlank",NA,2,20181218,0,"32078251.3%",5,24.6,53.8961965262856
"90","nuc06","cAMP","ng_06","t2","TrueBlank",NA,3,20181218,2,"1409.8%",5,24.6,53.8961965262856
"91","nuc07","dAMP","ng_04","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,0.8,1.78885438199983
"92","nuc07","dAMP","ng_04","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,0.8,1.78885438199983
"93","nuc07","dAMP","ng_04","t1","TrueBlank",NA,1,20181218,4,"664.2%",5,0.8,1.78885438199983
"94","nuc07","dAMP","ng_04","t1","TrueBlank",NA,2,20181218,0,"Inf%",5,0.8,1.78885438199983
"95","nuc07","dAMP","ng_04","t1","TrueBlank",NA,3,20181218,0,"Inf%",5,0.8,1.78885438199983
"96","nuc07","dAMP","ng_04","t12","TrueBlank",NA,1,20181217,0,"Inf%",5,7,15.6524758424985
"97","nuc07","dAMP","ng_04","t12","TrueBlank",NA,3,20181217,0,"Inf%",5,7,15.6524758424985
"98","nuc07","dAMP","ng_04","t12","TrueBlank",NA,1,20181218,35,"129.6%",5,7,15.6524758424985
"99","nuc07","dAMP","ng_04","t12","TrueBlank",NA,2,20181218,0,"Inf%",5,7,15.6524758424985
"100","nuc07","dAMP","ng_04","t12","TrueBlank",NA,3,20181218,0,"Inf%",5,7,15.6524758424985
"101","nuc07","dAMP","ng_04","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,3.8,8.4970583144992
"102","nuc07","dAMP","ng_04","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,3.8,8.4970583144992
"103","nuc07","dAMP","ng_04","t2","TrueBlank",NA,1,20181218,19,"201.1%",5,3.8,8.4970583144992
"104","nuc07","dAMP","ng_04","t2","TrueBlank",NA,2,20181218,0,"Inf%",5,3.8,8.4970583144992
"105","nuc07","dAMP","ng_04","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,3.8,8.4970583144992
"106","nuc08","AMP","ng_04","t1","TrueBlank",NA,1,20181217,0,"Inf%",5,10.6,23.7023205614978
"107","nuc08","AMP","ng_04","t1","TrueBlank",NA,3,20181217,0,"Inf%",5,10.6,23.7023205614978
"108","nuc08","AMP","ng_04","t1","TrueBlank",NA,1,20181218,53,"73.8%",5,10.6,23.7023205614978
"109","nuc08","AMP","ng_04","t1","TrueBlank",NA,2,20181218,0,"Inf%",5,10.6,23.7023205614978
"110","nuc08","AMP","ng_04","t1","TrueBlank",NA,3,20181218,0,"Inf%",5,10.6,23.7023205614978
"111","nuc08","AMP","ng_04","t12","TrueBlank",NA,1,20181217,0,"49456751.1%",5,66.4,144.014929781603
"112","nuc08","AMP","ng_04","t12","TrueBlank",NA,3,20181217,1,"1424.9%",5,66.4,144.014929781603
"113","nuc08","AMP","ng_04","t12","TrueBlank",NA,1,20181218,324,"31.3%",5,66.4,144.014929781603
"114","nuc08","AMP","ng_04","t12","TrueBlank",NA,2,20181218,5,"509.3%",5,66.4,144.014929781603
"115","nuc08","AMP","ng_04","t12","TrueBlank",NA,3,20181218,2,"1239.2%",5,66.4,144.014929781603
"116","nuc08","AMP","ng_04","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,54.6,119.85950108356
"117","nuc08","AMP","ng_04","t2","TrueBlank",NA,3,20181217,1,"1426.5%",5,54.6,119.85950108356
"118","nuc08","AMP","ng_04","t2","TrueBlank",NA,1,20181218,269,"33.3%",5,54.6,119.85950108356
"119","nuc08","AMP","ng_04","t2","TrueBlank",NA,2,20181218,3,"750.3%",5,54.6,119.85950108356
"120","nuc08","AMP","ng_04","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,54.6,119.85950108356
"121","nuc09","dGMP","ng_05","t1","TrueBlank",NA,1,20181217,89,"50.2%",5,198.6,264.691896362545
"122","nuc09","dGMP","ng_05","t1","TrueBlank",NA,3,20181217,80,"65.5%",5,198.6,264.691896362545
"123","nuc09","dGMP","ng_05","t1","TrueBlank",NA,1,20181218,672,"19.7%",5,198.6,264.691896362545
"124","nuc09","dGMP","ng_05","t1","TrueBlank",NA,2,20181218,76,"67.8%",5,198.6,264.691896362545
"125","nuc09","dGMP","ng_05","t1","TrueBlank",NA,3,20181218,76,"57%",5,198.6,264.691896362545
"126","nuc09","dGMP","ng_05","t12","TrueBlank",NA,1,20181217,89,"50.1%",5,204.2,264.355253399663
"127","nuc09","dGMP","ng_05","t12","TrueBlank",NA,3,20181217,80,"66.1%",5,204.2,264.355253399663
"128","nuc09","dGMP","ng_05","t12","TrueBlank",NA,1,20181218,677,"20.2%",5,204.2,264.355253399663
"129","nuc09","dGMP","ng_05","t12","TrueBlank",NA,2,20181218,82,"66.7%",5,204.2,264.355253399663
"130","nuc09","dGMP","ng_05","t12","TrueBlank",NA,3,20181218,93,"51.8%",5,204.2,264.355253399663
"131","nuc09","dGMP","ng_05","t2","TrueBlank",NA,1,20181217,0,"Inf%",5,4,8.94427190999916
"132","nuc09","dGMP","ng_05","t2","TrueBlank",NA,3,20181217,0,"Inf%",5,4,8.94427190999916
"133","nuc09","dGMP","ng_05","t2","TrueBlank",NA,1,20181218,20,"159.8%",5,4,8.94427190999916
"134","nuc09","dGMP","ng_05","t2","TrueBlank",NA,2,20181218,0,"Inf%",5,4,8.94427190999916
"135","nuc09","dGMP","ng_05","t2","TrueBlank",NA,3,20181218,0,"Inf%",5,4,8.94427190999916
"136","nuc10","IMP","ng_06","t1","TrueBlank",NA,1,20181217,11,"267.6%",5,75.8,127.1385071487
